"participant","age_group","condition","rt_ms","accuracy"
"s01","child","congruent",800,1
"s01","child","incongruent",976,1
"s02","adult","congruent",496,1
"s02","adult","incongruent",582,0
"s03","child","congruent",803,1
"s03","child","incongruent",924,1
"s04","adult","congruent",401,1
"s04","adult","incongruent",609,1
"s05","child","congruent",690,1
"s05","child","incongruent",808,1
"s06","adult","congruent",515,1
"s06","adult","incongruent",627,1
"s07","child","congruent",799,1
"s07","child","incongruent",750,1
"s08","adult","congruent",524,1
"s08","adult","incongruent",610,0
"s09","child","congruent",619,1
"s09","child","incongruent",788,1
"s10","adult","congruent",533,1
"s10","adult","incongruent",607,1
"s11","child","congruent",829,1
"s11","child","incongruent",796,1
"s12","adult","congruent",536,1
"s12","adult","incongruent",680,1
"s13","child","congruent",808,1
"s13","child","incongruent",914,1
"s14","adult","congruent",591,1
"s14","adult","incongruent",589,1
"s15","child","congruent",735,1
"s15","child","incongruent",854,1
"s16","adult","congruent",565,1
"s16","adult","incongruent",653,1
"s17","child","congruent",795,1
"s17","child","incongruent",734,1
"s18","adult","congruent",525,1
"s18","adult","incongruent",462,1
"s19","child","congruent",827,1
"s19","child","incongruent",871,1
"s20","adult","congruent",494,1
"s20","adult","incongruent",621,1
"s21","child","congruent",763,1
"s21","child","incongruent",899,1
"s22","adult","congruent",451,1
"s22","adult","incongruent",652,0
"s23","child","congruent",867,1
"s23","child","incongruent",896,0
"s24","adult","congruent",402,1
"s24","adult","incongruent",593,1
